// Compost colors for moreartifacts. You may add your own colors, change existing ones, or remove colors that aren't needed.
ankh_charm, #ffffd7
artifact_upgrade_smithing_template, #7d7a97
balloon, #ffffff
bezoar, #fffff1
blazing_treads, #e66212
decay_amulet, #aeaeae
decay_stone, #3a343e
desert_charm, #fffff0
dragon_eye, #790791
dune_treads, #be9875
echo_glove, #1e4a54
ender_dragon_claw, #4a3754
enderian_eye, #ff7fff
enderian_scarf, #dedee0
enderian_treads, #933acc
envenomed_quiver, #fffff5
fast_clock, #ffffff
fire_stone, #bf5b33
gilded_scarf, #ae8d50
golden_headgear, #ffffe1
hero_shield, #ffffd0
high_jumpers, #fcffff
ice_crystal, #e6ffff
ice_stone, #c6ffff
leather_treads, #b65c2d
lucky_emerald_ring, #39b157
magic_quiver, #fffeff
mechanical_claw, #afcad0
mechanical_gears, #967070
mechanical_glove, #ffffff
melody_plushie, #ffffff
molten_quiver, #fffffa
natures_mantle, #55793e
necroplasm_amulet, #fab4cf
nectar, #fffff0
netherite_headgear, #a09e9e
obsidian_skull, #582fb5
purification_charm, #fff7a2
recall_potion, #9bffff
ruby_ring, #ff7a40
sculk_lens, #ffffff
sculk_shades, #c8d6d9
sculk_treads, #443261
shackle, #ffffff
shadow_dust, #9e73f2
shulked_clock, #ffffff
shulker_heart, #a778cc
spectre_amulet, #b8ddf5
sunglasses, #1e1e1e
tainted_mirror, #b894d7
true_enderian_scarf, #680f82
vanir_mask, #696668
venom_amulet, #c0cfa5
venom_stone, #6e8e6f
vitamins, #fffbb9
wither_shard, #d4d4d9
withered_bezoar, #ffffea
wooden_headgear, #fffff8
